Tipo Test, Tipo Config. Cassa, Num Cassieri, Giorno, IC Tempo Attesa, IC Slowdown, IC SD Tempo Att, IC Abbandoni, IC Arrivi, Lungh. Fila Tollerata, Num Simulazioni, alpha
6, sperimentale_60_20_20, 1, mercoledì, "[58.552175, 4.553833]", "[1.905497, 0.068867]", "[23059.611516, 18250.817049]", "[76.700000, 13.594484]", "[4197.300000, 63.550059]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, giovedì, "[55.660986, 4.333435]", "[1.860148, 0.067961]", "[6211.531298, 15300.992637]", "[66.200000, 15.038617]", "[4173.500000, 67.225367]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, venerdì, "[53.334962, 5.470337]", "[1.823763, 0.082154]", "[16704.869508, 15424.280676]", "[52.800000, 13.869391]", "[4146.900000, 66.390436]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, sabato, "[47.724482, 4.829531]", "[1.736981, 0.074228]", "[33246.411047, 13152.167748]", "[36.300000, 9.757561]", "[3895.400000, 64.617645]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, domenica, "[41.474625, 4.225725]", "[1.642218, 0.066166]", "[41702.028363, 11564.546988]", "[25.200000, 8.109254]", "[3581.600000, 57.194755]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, lunedì, "[55.069476, 4.056884]", "[1.851580, 0.062353]", "[29210.280894, 15274.904559]", "[66.900000, 9.669023]", "[4116.500000, 66.169857]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, martedì, "[48.327818, 4.178523]", "[1.745888, 0.064297]", "[33101.703049, 13026.972984]", "[36.700000, 9.381365]", "[3967.100000, 69.249477]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, mercoledì, "[58.542225, 4.552220]", "[1.905169, 0.068817]", "[23058.591722, 18257.543027]", "[76.700000, 13.594484]", "[4197.300000, 63.550059]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, giovedì, "[55.652823, 4.332709]", "[1.859876, 0.067940]", "[6214.980945, 15310.120020]", "[66.200000, 15.038617]", "[4173.500000, 67.225367]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, venerdì, "[53.327131, 5.469388]", "[1.823503, 0.082136]", "[16705.844109, 15435.715689]", "[52.800000, 13.869391]", "[4146.900000, 66.390436]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, sabato, "[47.718414, 4.828198]", "[1.736775, 0.074185]", "[33246.904756, 13155.888141]", "[36.300000, 9.757561]", "[3895.400000, 64.617645]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, domenica, "[41.469413, 4.224601]", "[1.642048, 0.066136]", "[41697.067818, 11563.984084]", "[25.200000, 8.109254]", "[3581.600000, 57.194755]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, lunedì, "[6.087034, 0.672780]", "[1.091224, 0.009888]", "[1543.399519, 1474.904178]", "[0.000000, 0.000000]", "[4116.500000, 66.169857]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, martedì, "[5.054376, 0.511622]", "[1.075633, 0.007852]", "[2358.379540, 1213.420143]", "[0.000000, 0.000000]", "[3967.100000, 69.249477]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, mercoledì, "[6.615699, 0.852060]", "[1.099086, 0.012832]", "[405.660000, 2472.648483]", "[0.000000, 0.000000]", "[4197.300000, 63.550059]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, giovedì, "[6.449826, 0.910656]", "[1.096684, 0.013737]", "[-2090.488302, 2988.453586]", "[0.100000, 0.300000]", "[4173.500000, 67.225367]", 10, 10, 0.050000
6, sperimentale_60_20_20, 1, venerdì, "[5.984817, 0.772667]", "[1.089604, 0.011772]", "[70.946783, 2799.733484]", "[0.000000, 0.000000]", "[4146.900000, 66.390436]", 10, 10, 0.050000
